#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
##Job Descriptions##
job_chancellor_arathi;Chamberlain;Chamberlain;Chamberlain;;Chamberlain;;;;;;;;;x,,,,
"desc_job_chancellor_arathi;The Chamberlain is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;Le [GetChancellorName] prodigue des conseils sur les questions diplomatiques. Il occupe traditionnellement la plus haute position du Conseil.;Der [GetChancellorName] berät Euch in Diplomatiefragen. Diese Position wird üblicherweise als die höchste im Rat angesehen.;;El [GetChancellorName] es tu asesor en cuestiones de diplomacia. Por tradición	 se considera el puesto más alto del Consejo.;;;;;;;;;x",,,,
job_marshal_arathi;Lord Constable;Lord Constable;Lord Constable;;Lord Constable;;;;;;;;;x,,,,
"desc_job_marshal_arathi;The Lord Constable is the councillor in charge of the military. When the ruler cannot or will not command armies	 the Lord Constable will do it.;Le Maréchal prodigue des conseils sur les questions militaires. Lorsqu’un souverain n’est pas en mesure de commander ses armées	 il s’en charge.;Der Marschall ist der Militärberater. Wenn der Herrscher keine Armeen befehligen kann oder will	 springt der Marschall ein.;;El mariscal es el consejero a cargo del ejército. Cuando el soberano no pueda dirigir ejércitos	 lo hará el mariscal.;;;;;;;;;x",,,,
job_treasurer_arathi;High Caretaker;High Caretaker;High Caretaker;;High Caretaker;;;;;;;;;x,,,,
"desc_job_treasurer_arathi;The High Caretaker helps you collect taxes and administer your demesne.;l'Intendant vous aide à percevoir les impôts et à administrer votre domaine.;Der Verwalter hilft Euch	 Steuern einzutreiben und Eure Domäne zu verwalten.;;El administrador te ayuda a recaudar impuestos y administra tu heredad.;;;;;;;;;x",,,,
job_spymaster_arathi;Chief of Assassins;Chief of Assassins;Chief of Assassins;;Chief of Assassins;;;;;;;;;x,,,,
"desc_job_spymaster_arathi;Chief of Assassins is an unoffical position on the council. The office holder is responsible for all matters of intrigue and skullduggery.;Le Maître-Espion occupe une position officieuse au sein du Conseil. Il est chargé des questions ayant trait aux intrigues et autres complots.;Agentenführer ist eine inoffizielle Position im Rat. Der Amtsinhaber ist verantwortlich für Intrigen und alles Hinterlistige.;;El jefe de espías es un cargo no oficial en el Consejo. La persona asignada es responsable de lo relacionado con la intriga y la clandestinidad.;;;;;;;;;x",,,,
job_spiritual_arathi;Lord-Bishop;Lord-Bishop;Lord-Bishop;;Lord-Bishop;;;;;;;;;x,,,,
"desc_job_spiritual_arathi;The Lord-Bishop is your personal advisor on matters of the faith	 but does not necessarily have to belong to the clergy.;Le Chapelain vous prodigue des conseils sur les questions religieuses	 mais n’est pas nécessairement issu du clergé.;Der Hofkaplan ist Euer persönlicher Berater in Glaubensdingen	 muss aber nicht unbedingt zum Klerus gehören.;;El capellán es tu consejero personal en cuestiones de fe y no tiene por qué pertenecer al clero.;;;;;;;;;x",,,,
job_chancellor_alteraci;Chamberlain;Chamberlain;Chamberlain;;Chamberlain;;;;;;;;;x,,,,
"desc_job_chancellor_alteraci;The Chamberlain is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;Le [GetChancellorName] prodigue des conseils sur les questions diplomatiques. Il occupe traditionnellement la plus haute position du Conseil.;Der [GetChancellorName] berät Euch in Diplomatiefragen. Diese Position wird üblicherweise als die höchste im Rat angesehen.;;El [GetChancellorName] es tu asesor en cuestiones de diplomacia. Por tradición	 se considera el puesto más alto del Consejo.;;;;;;;;;x",,,,
job_marshal_alteraci;Lord Constable;Lord Constable;Lord Constable;;Lord Constable;;;;;;;;;x,,,,
"desc_job_marshal_alteraci;The Lord Constable is the councillor in charge of the military. When the ruler cannot or will not command armies	 the Lord Constable will do it.;Le Maréchal prodigue des conseils sur les questions militaires. Lorsqu’un souverain n’est pas en mesure de commander ses armées	 il s’en charge.;Der Marschall ist der Militärberater. Wenn der Herrscher keine Armeen befehligen kann oder will	 springt der Marschall ein.;;El mariscal es el consejero a cargo del ejército. Cuando el soberano no pueda dirigir ejércitos	 lo hará el mariscal.;;;;;;;;;x",,,,
job_treasurer_alteraci;High Caretaker;High Caretaker;High Caretaker;;High Caretaker;;;;;;;;;x,,,,
"desc_job_treasurer_alteraci;The High Caretaker helps you collect taxes and administer your demesne.;l'Intendant vous aide à percevoir les impôts et à administrer votre domaine.;Der Verwalter hilft Euch	 Steuern einzutreiben und Eure Domäne zu verwalten.;;El administrador te ayuda a recaudar impuestos y administra tu heredad.;;;;;;;;;x",,,,
job_spymaster_alteraci;Chief of Assassins;Chief of Assassins;Chief of Assassins;;Chief of Assassins;;;;;;;;;x,,,,
"desc_job_spymaster_alteraci;Chief of Assassins is an unoffical position on the council. The office holder is responsible for all matters of intrigue and skullduggery.;Le Maître-Espion occupe une position officieuse au sein du Conseil. Il est chargé des questions ayant trait aux intrigues et autres complots.;Agentenführer ist eine inoffizielle Position im Rat. Der Amtsinhaber ist verantwortlich für Intrigen und alles Hinterlistige.;;El jefe de espías es un cargo no oficial en el Consejo. La persona asignada es responsable de lo relacionado con la intriga y la clandestinidad.;;;;;;;;;x",,,,
job_spiritual_alteraci;Lord-Bishop;Lord-Bishop;Lord-Bishop;;Lord-Bishop;;;;;;;;;x,,,,
"desc_job_spiritual_alteraci;The Lord-Bishop is your personal advisor on matters of the faith	 but does not necessarily have to belong to the clergy.;Le Chapelain vous prodigue des conseils sur les questions religieuses	 mais n’est pas nécessairement issu du clergé.;Der Hofkaplan ist Euer persönlicher Berater in Glaubensdingen	 muss aber nicht unbedingt zum Klerus gehören.;;El capellán es tu consejero personal en cuestiones de fe y no tiene por qué pertenecer al clero.;;;;;;;;;x",,,,
job_chancellor_hillmen;Chamberlain;Chamberlain;Chamberlain;;Chamberlain;;;;;;;;;x,,,,
"desc_job_chancellor_hillmen;The Chamberlain is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;Le [GetChancellorName] prodigue des conseils sur les questions diplomatiques. Il occupe traditionnellement la plus haute position du Conseil.;Der [GetChancellorName] berät Euch in Diplomatiefragen. Diese Position wird üblicherweise als die höchste im Rat angesehen.;;El [GetChancellorName] es tu asesor en cuestiones de diplomacia. Por tradición	 se considera el puesto más alto del Consejo.;;;;;;;;;x",,,,
job_marshal_hillmen;Lord Constable;Lord Constable;Lord Constable;;Lord Constable;;;;;;;;;x,,,,
"desc_job_marshal_hillmen;The Lord Constable is the councillor in charge of the military. When the ruler cannot or will not command armies	 the Lord Constable will do it.;Le Maréchal prodigue des conseils sur les questions militaires. Lorsqu’un souverain n’est pas en mesure de commander ses armées	 il s’en charge.;Der Marschall ist der Militärberater. Wenn der Herrscher keine Armeen befehligen kann oder will	 springt der Marschall ein.;;El mariscal es el consejero a cargo del ejército. Cuando el soberano no pueda dirigir ejércitos	 lo hará el mariscal.;;;;;;;;;x",,,,
job_treasurer_hillmen;High Caretaker;High Caretaker;High Caretaker;;High Caretaker;;;;;;;;;x,,,,
"desc_job_treasurer_hillmen;The High Caretaker helps you collect taxes and administer your demesne.;l'Intendant vous aide à percevoir les impôts et à administrer votre domaine.;Der Verwalter hilft Euch	 Steuern einzutreiben und Eure Domäne zu verwalten.;;El administrador te ayuda a recaudar impuestos y administra tu heredad.;;;;;;;;;x",,,,
job_spymaster_hillmen;Chief of Assassins;Chief of Assassins;Chief of Assassins;;Chief of Assassins;;;;;;;;;x,,,,
"desc_job_spymaster_hillmen;Chief of Assassins is an unoffical position on the council. The office holder is responsible for all matters of intrigue and skullduggery.;Le Maître-Espion occupe une position officieuse au sein du Conseil. Il est chargé des questions ayant trait aux intrigues et autres complots.;Agentenführer ist eine inoffizielle Position im Rat. Der Amtsinhaber ist verantwortlich für Intrigen und alles Hinterlistige.;;El jefe de espías es un cargo no oficial en el Consejo. La persona asignada es responsable de lo relacionado con la intriga y la clandestinidad.;;;;;;;;;x",,,,
job_spiritual_hillmen;Lord-Bishop;Lord-Bishop;Lord-Bishop;;Lord-Bishop;;;;;;;;;x,,,,
"desc_job_spiritual_hillmen;The Lord-Bishop is your personal advisor on matters of the faith	 but does not necessarily have to belong to the clergy.;Le Chapelain vous prodigue des conseils sur les questions religieuses	 mais n’est pas nécessairement issu du clergé.;Der Hofkaplan ist Euer persönlicher Berater in Glaubensdingen	 muss aber nicht unbedingt zum Klerus gehören.;;El capellán es tu consejero personal en cuestiones de fe y no tiene por qué pertenecer al clero.;;;;;;;;;x",,,,
job_chancellor_tirassian;Chamberlain;Chamberlain;Chamberlain;;Chamberlain;;;;;;;;;x,,,,
"desc_job_chancellor_tirassian;The Chamberlain is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;Le [GetChancellorName] prodigue des conseils sur les questions diplomatiques. Il occupe traditionnellement la plus haute position du Conseil.;Der [GetChancellorName] berät Euch in Diplomatiefragen. Diese Position wird üblicherweise als die höchste im Rat angesehen.;;El [GetChancellorName] es tu asesor en cuestiones de diplomacia. Por tradición	 se considera el puesto más alto del Consejo.;;;;;;;;;x",,,,
job_marshal_tirassian;High Sheriff;High Sheriff;High Sheriff;;High Sheriff;;;;;;;;;x,,,,
"desc_job_marshal_tirassian;The High Sheriff is the councillor in charge of the military. When the ruler cannot or will not command armies	 the Lord Constable will do it.;Le Maréchal prodigue des conseils sur les questions militaires. Lorsqu’un souverain n’est pas en mesure de commander ses armées	 il s’en charge.;Der Marschall ist der Militärberater. Wenn der Herrscher keine Armeen befehligen kann oder will	 springt der Marschall ein.;;El mariscal es el consejero a cargo del ejército. Cuando el soberano no pueda dirigir ejércitos	 lo hará el mariscal.;;;;;;;;;x",,,,
job_treasurer_tirassian;Clerk of the Admiralty;Clerk of the Admiralty;Clerk of the Admiralty;;Clerk of the Admiralty;;;;;;;;;x,,,,
"desc_job_treasurer_tirassian;The Clerk of the Admiralty helps you collect taxes and administer your demesne.;l'Intendant vous aide à percevoir les impôts et à administrer votre domaine.;Der Verwalter hilft Euch	 Steuern einzutreiben und Eure Domäne zu verwalten.;;El administrador te ayuda a recaudar impuestos y administra tu heredad.;;;;;;;;;x",,,,
job_spymaster_tirassian;Captain of Privateers;Captain of Privateers;Captain of Privateers;;Captain of Privateers;;;;;;;;;x,,,,
"desc_job_spymaster_tirassian;Captain of Privateers is an unoffical position on the council. The office holder is responsible for all matters of intrigue and skullduggery.;Le Maître-Espion occupe une position officieuse au sein du Conseil. Il est chargé des questions ayant trait aux intrigues et autres complots.;Agentenführer ist eine inoffizielle Position im Rat. Der Amtsinhaber ist verantwortlich für Intrigen und alles Hinterlistige.;;El jefe de espías es un cargo no oficial en el Consejo. La persona asignada es responsable de lo relacionado con la intriga y la clandestinidad.;;;;;;;;;x",,,,
job_spiritual_tirassian;Lord-Bishop;Lord-Bishop;Lord-Bishop;;Lord-Bishop;;;;;;;;;x,,,,
"desc_job_spiritual_tirassian;The Lord-Bishop is your personal advisor on matters of the faith	 but does not necessarily have to belong to the clergy.;Le Chapelain vous prodigue des conseils sur les questions religieuses	 mais n’est pas nécessairement issu du clergé.;Der Hofkaplan ist Euer persönlicher Berater in Glaubensdingen	 muss aber nicht unbedingt zum Klerus gehören.;;El capellán es tu consejero personal en cuestiones de fe y no tiene por qué pertenecer al clero.;;;;;;;;;x",,,,
job_chancellor_arcanist;Master of Divination;Master of Divination;Master of Divination;;Master of Divination;;;;;;;;;x,,,,
"desc_job_chancellor_arcanist;The Master of Divination is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;Le [GetChancellorName] prodigue des conseils sur les questions diplomatiques. Il occupe traditionnellement la plus haute position du Conseil.;Der [GetChancellorName] berät Euch in Diplomatiefragen. Diese Position wird üblicherweise als die höchste im Rat angesehen.;;El [GetChancellorName] es tu asesor en cuestiones de diplomacia. Por tradición	 se considera el puesto más alto del Consejo.;;;;;;;;;x",,,,
job_marshal_arcanist;Master of Abjuration;Master of Abjuration;Master of Abjuration;;Master of Abjuration;;;;;;;;;x,,,,
"desc_job_marshal_arcanist;The Master of Abjuration is the councillor in charge of the military. When the ruler cannot or will not command armies	 the Master of Abjuration will do it.;Le Maréchal prodigue des conseils sur les questions militaires. Lorsqu’un souverain n’est pas en mesure de commander ses armées	 il s’en charge.;Der Marschall ist der Militärberater. Wenn der Herrscher keine Armeen befehligen kann oder will	 springt der Marschall ein.;;El mariscal es el consejero a cargo del ejército. Cuando el soberano no pueda dirigir ejércitos	 lo hará el mariscal.;;;;;;;;;x",,,,
job_treasurer_arcanist;Master of Transmutation;Master of Transmutation;Master of Transmutation;;Master of Transmutation;;;;;;;;;x,,,,
"desc_job_treasurer_arcanist;The Master of Transmutation helps you collect taxes and administer your demesne.;l'Intendant vous aide à percevoir les impôts et à administrer votre domaine.;Der Verwalter hilft Euch	 Steuern einzutreiben und Eure Domäne zu verwalten.;;El administrador te ayuda a recaudar impuestos y administra tu heredad.;;;;;;;;;x",,,,
job_spymaster_arcanist;Master of Illusion;Master of Illusion;Master of Illusion;;Master of Illusion;;;;;;;;;x,,,,
"desc_job_spymaster_arcanist;Master of Illusion is the council's archmage specializing in illusion magics. The office holder is responsible for all matters of intrigue and skullduggery.;Le Maître-Espion occupe une position officieuse au sein du Conseil. Il est chargé des questions ayant trait aux intrigues et autres complots.;Agentenführer ist eine inoffizielle Position im Rat. Der Amtsinhaber ist verantwortlich für Intrigen und alles Hinterlistige.;;El jefe de espías es un cargo no oficial en el Consejo. La persona asignada es responsable de lo relacionado con la intriga y la clandestinidad.;;;;;;;;;x",,,,
job_spiritual_arcanist;Master of Conjuration;Master of Conjuration;Master of Conjuration;;Master of Conjuration;;;;;;;;;x,,,,
"desc_job_spiritual_arcanist;The Master of Conjuration is your personal advisor on matters of the arcane	 but does not necessarily have to be a mage.;Le Chapelain vous prodigue des conseils sur les questions religieuses	 mais n’est pas nécessairement issu du clergé.;Der Hofkaplan ist Euer persönlicher Berater in Glaubensdingen	 muss aber nicht unbedingt zum Klerus gehören.;;El capellán es tu consejero personal en cuestiones de fe y no tiene por qué pertenecer al clero.;;;;;;;;;x",,,,
job_chancellor_high_elf;Grand Councillor;Grand Councillor;Grand Councillor;;Grand Councillor;;;;;;;;;x,,,,
"desc_job_chancellor_high_elf;The Grand Councillor is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;Le [GetChancellorName] prodigue des conseils sur les questions diplomatiques. Il occupe traditionnellement la plus haute position du Conseil.;Der [GetChancellorName] berät Euch in Diplomatiefragen. Diese Position wird üblicherweise als die höchste im Rat angesehen.;;El [GetChancellorName] es tu asesor en cuestiones de diplomacia. Por tradición	 se considera el puesto más alto del Consejo.;;;;;;;;;x",,,,
job_marshal_high_elf;Ranger-General;Ranger-General;Ranger-General;;Ranger-General;;;;;;;;;x,,,,
