#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
"desc_job_marshal_high_elf;The Ranger-General is the councillor in charge of the military. When the ruler cannot or will not command armies	 the Ranger-General will do it.;Le Maréchal prodigue des conseils sur les questions militaires. Lorsqu’un souverain n’est pas en mesure de commander ses armées	 il s’en charge.;Der Marschall ist der Militärberater. Wenn der Herrscher keine Armeen befehligen kann oder will	 springt der Marschall ein.;;El mariscal es el consejero a cargo del ejército. Cuando el soberano no pueda dirigir ejércitos	 lo hará el mariscal.;;;;;;;;;x",,,,
job_treasurer_high_elf;Grand Ley-Keeper;Grand Ley-Keeper;Grand Ley-Keeper;;Grand Ley-Keeper;;;;;;;;;x,,,,
"desc_job_treasurer_high_elf;The Grand Ley-Keeper helps you collect taxes and administer your demesne.;l'Intendant vous aide à percevoir les impôts et à administrer votre domaine.;Der Verwalter hilft Euch	 Steuern einzutreiben und Eure Domäne zu verwalten.;;El administrador te ayuda a recaudar impuestos y administra tu heredad.;;;;;;;;;x",,,,
job_spymaster_high_elf;High Pathstalker;High Pathstalker;High Pathstalker;;High Pathstalker;;;;;;;;;x,,,,
"desc_job_spymaster_high_elf;High Pathstalker is an unoffical position on the council. The office holder is responsible for all matters of intrigue and skullduggery.;Le Maître-Espion occupe une position officieuse au sein du Conseil. Il est chargé des questions ayant trait aux intrigues et autres complots.;Agentenführer ist eine inoffizielle Position im Rat. Der Amtsinhaber ist verantwortlich für Intrigen und alles Hinterlistige.;;El jefe de espías es un cargo no oficial en el Consejo. La persona asignada es responsable de lo relacionado con la intriga y la clandestinidad.;;;;;;;;;x",,,,
job_spiritual_high_elf;High Examiner;High Examiner;High Examiner;;High Examiner;;;;;;;;;x,,,,
"desc_job_spiritual_high_elf;The High Examiner Ley-Keeper is your personal advisor on arcane matters	 but does not necessarily have to be an arcanist.;Le Chapelain vous prodigue des conseils sur les questions religieuses	 mais n’est pas nécessairement issu du clergé.;Der Hofkaplan ist Euer persönlicher Berater in Glaubensdingen	 muss aber nicht unbedingt zum Klerus gehören.;;El capellán es tu consejero personal en cuestiones de fe y no tiene por qué pertenecer al clero.;;;;;;;;;x",,,,
job_chancellor_wood_elf;Grand Councillor;Grand Councillor;Grand Councillor;;Grand Councillor;;;;;;;;;x,,,,
"desc_job_chancellor_wood_elf;The Grand Councillor is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;Le [GetChancellorName] prodigue des conseils sur les questions diplomatiques. Il occupe traditionnellement la plus haute position du Conseil.;Der [GetChancellorName] berät Euch in Diplomatiefragen. Diese Position wird üblicherweise als die höchste im Rat angesehen.;;El [GetChancellorName] es tu asesor en cuestiones de diplomacia. Por tradición	 se considera el puesto más alto del Consejo.;;;;;;;;;x",,,,
job_marshal_wood_elf;Ranger-General;Ranger-General;Ranger-General;;Ranger-General;;;;;;;;;x,,,,
"desc_job_marshal_wood_elf;The Ranger-General is the councillor in charge of the military. When the ruler cannot or will not command armies	 the Ranger-General will do it.;Le Maréchal prodigue des conseils sur les questions militaires. Lorsqu’un souverain n’est pas en mesure de commander ses armées	 il s’en charge.;Der Marschall ist der Militärberater. Wenn der Herrscher keine Armeen befehligen kann oder will	 springt der Marschall ein.;;El mariscal es el consejero a cargo del ejército. Cuando el soberano no pueda dirigir ejércitos	 lo hará el mariscal.;;;;;;;;;x",,,,
job_treasurer_wood_elf;Grand Ley-Keeper;Grand Ley-Keeper;Grand Ley-Keeper;;Grand Ley-Keeper;;;;;;;;;x,,,,
"desc_job_treasurer_wood_elf;The Grand Ley-Keeper helps you collect taxes and administer your demesne.;l'Intendant vous aide à percevoir les impôts et à administrer votre domaine.;Der Verwalter hilft Euch	 Steuern einzutreiben und Eure Domäne zu verwalten.;;El administrador te ayuda a recaudar impuestos y administra tu heredad.;;;;;;;;;x",,,,
job_spymaster_wood_elf;High Pathstalker;High Pathstalker;High Pathstalker;;High Pathstalker;;;;;;;;;x,,,,
"desc_job_spymaster_wood_elf;High Pathstalker is an unoffical position on the council. The office holder is responsible for all matters of intrigue and skullduggery.;Le Maître-Espion occupe une position officieuse au sein du Conseil. Il est chargé des questions ayant trait aux intrigues et autres complots.;Agentenführer ist eine inoffizielle Position im Rat. Der Amtsinhaber ist verantwortlich für Intrigen und alles Hinterlistige.;;El jefe de espías es un cargo no oficial en el Consejo. La persona asignada es responsable de lo relacionado con la intriga y la clandestinidad.;;;;;;;;;x",,,,
job_spiritual_wood_elf;High Examiner;High Examiner;High Examiner;;High Examiner;;;;;;;;;x,,,,
"desc_job_spiritual_wood_elf;The High Examiner Ley-Keeper is your personal advisor on arcane matters	 but does not necessarily have to be an arcanist.;Le Chapelain vous prodigue des conseils sur les questions religieuses	 mais n’est pas nécessairement issu du clergé.;Der Hofkaplan ist Euer persönlicher Berater in Glaubensdingen	 muss aber nicht unbedingt zum Klerus gehören.;;El capellán es tu consejero personal en cuestiones de fe y no tiene por qué pertenecer al clero.;;;;;;;;;x",,,,
job_chancellor_amani;High Chronicler;High Chronicler;High Chronicler;;High Chronicler;;;;;;;;;x,,,,
"desc_job_chancellor_amani;The High Chronicler is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;Le [GetChancellorName] prodigue des conseils sur les questions diplomatiques. Il occupe traditionnellement la plus haute position du Conseil.;Der [GetChancellorName] berät Euch in Diplomatiefragen. Diese Position wird üblicherweise als die höchste im Rat angesehen.;;El [GetChancellorName] es tu asesor en cuestiones de diplomacia. Por tradición	 se considera el puesto más alto del Consejo.;;;;;;;;;x",,,,
job_marshal_amani;Warmonger;Warmonger;Warmonger;;Warmonger;;;;;;;;;x,,,,
"desc_job_marshal_amani;The Warmonger is the councillor in charge of the military. When the ruler cannot or will not command armies	 the Warmonger will do it.;Le Maréchal prodigue des conseils sur les questions militaires. Lorsqu’un souverain n’est pas en mesure de commander ses armées	 il s’en charge.;Der Marschall ist der Militärberater. Wenn der Herrscher keine Armeen befehligen kann oder will	 springt der Marschall ein.;;El mariscal es el consejero a cargo del ejército. Cuando el soberano no pueda dirigir ejércitos	 lo hará el mariscal.;;;;;;;;;x",,,,
job_treasurer_amani;Majordomo;Majordomo;Majordomo;;Majordomo;;;;;;;;;x,,,,
"desc_job_treasurer_amani;The Majordomo helps you collect taxes and administer your demesne.;l'Intendant vous aide à percevoir les impôts et à administrer votre domaine.;Der Verwalter hilft Euch	 Steuern einzutreiben und Eure Domäne zu verwalten.;;El administrador te ayuda a recaudar impuestos y administra tu heredad.;;;;;;;;;x",,,,
job_spymaster_amani;Shadow Hunter;Shadow Hunter;Shadow Hunter;;Shadow Hunter;;;;;;;;;x,,,,
"desc_job_spymaster_amani;The Shadow Hunter is an unofficial position on the council. The hunter is responsible for all matters of intrigue and skullduggery.;Le Maître-Espion occupe une position officieuse au sein du Conseil. Il est chargé des questions ayant trait aux intrigues et autres complots.;Agentenführer ist eine inoffizielle Position im Rat. Der Amtsinhaber ist verantwortlich für Intrigen und alles Hinterlistige.;;El jefe de espías es un cargo no oficial en el Consejo. La persona asignada es responsable de lo relacionado con la intriga y la clandestinidad.;;;;;;;;;x",,,,
job_spiritual_amani;Hex Lord;Hex Lord;Hex Lord;;Hex Lord;;;;;;;;;x,,,,
"desc_job_spiritual_amani;The Hex Lord is your personal advisor on matters of the faith	 but does not necessarily have to be a priest.;Le Chapelain vous prodigue des conseils sur les questions religieuses	 mais n’est pas nécessairement issu du clergé.;Der Hofkaplan ist Euer persönlicher Berater in Glaubensdingen	 muss aber nicht unbedingt zum Klerus gehören.;;El capellán es tu consejero personal en cuestiones de fe y no tiene por qué pertenecer al clero.;;;;;;;;;x",,,,
job_chancellor_witherbark;High Chronicler;High Chronicler;High Chronicler;;High Chronicler;;;;;;;;;x,,,,
"desc_job_chancellor_witherbark;The High Chronicler is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;Le [GetChancellorName] prodigue des conseils sur les questions diplomatiques. Il occupe traditionnellement la plus haute position du Conseil.;Der [GetChancellorName] berät Euch in Diplomatiefragen. Diese Position wird üblicherweise als die höchste im Rat angesehen.;;El [GetChancellorName] es tu asesor en cuestiones de diplomacia. Por tradición	 se considera el puesto más alto del Consejo.;;;;;;;;;x",,,,
job_marshal_witherbark;Warmonger;Warmonger;Warmonger;;Warmonger;;;;;;;;;x,,,,
"desc_job_marshal_witherbark;The Warmonger is the councillor in charge of the military. When the ruler cannot or will not command armies	 the Warmonger will do it.;Le Maréchal prodigue des conseils sur les questions militaires. Lorsqu’un souverain n’est pas en mesure de commander ses armées	 il s’en charge.;Der Marschall ist der Militärberater. Wenn der Herrscher keine Armeen befehligen kann oder will	 springt der Marschall ein.;;El mariscal es el consejero a cargo del ejército. Cuando el soberano no pueda dirigir ejércitos	 lo hará el mariscal.;;;;;;;;;x",,,,
job_treasurer_witherbark;Majordomo;Majordomo;Majordomo;;Majordomo;;;;;;;;;x,,,,
"desc_job_treasurer_witherbark;The Majordomo helps you collect taxes and administer your demesne.;l'Intendant vous aide à percevoir les impôts et à administrer votre domaine.;Der Verwalter hilft Euch	 Steuern einzutreiben und Eure Domäne zu verwalten.;;El administrador te ayuda a recaudar impuestos y administra tu heredad.;;;;;;;;;x",,,,
job_spymaster_witherbark;Shadow Hunter;Shadow Hunter;Shadow Hunter;;Shadow Hunter;;;;;;;;;x,,,,
"desc_job_spymaster_witherbark;The Shadow Hunter is an unofficial position on the council. The hunter is responsible for all matters of intrigue and skullduggery.;Le Maître-Espion occupe une position officieuse au sein du Conseil. Il est chargé des questions ayant trait aux intrigues et autres complots.;Agentenführer ist eine inoffizielle Position im Rat. Der Amtsinhaber ist verantwortlich für Intrigen und alles Hinterlistige.;;El jefe de espías es un cargo no oficial en el Consejo. La persona asignada es responsable de lo relacionado con la intriga y la clandestinidad.;;;;;;;;;x",,,,
job_spiritual_witherbark;Hex Lord;Hex Lord;Hex Lord;;Hex Lord;;;;;;;;;x,,,,
"desc_job_spiritual_witherbark;The Hex Lord is your personal advisor on matters of the faith	 but does not necessarily have to be a priest.;Le Chapelain vous prodigue des conseils sur les questions religieuses	 mais n’est pas nécessairement issu du clergé.;Der Hofkaplan ist Euer persönlicher Berater in Glaubensdingen	 muss aber nicht unbedingt zum Klerus gehören.;;El capellán es tu consejero personal en cuestiones de fe y no tiene por qué pertenecer al clero.;;;;;;;;;x",,,,
job_chancellor_vilebranch;High Chronicler;High Chronicler;High Chronicler;;High Chronicler;;;;;;;;;x,,,,
"desc_job_chancellor_vilebranch;The High Chronicler is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;Le [GetChancellorName] prodigue des conseils sur les questions diplomatiques. Il occupe traditionnellement la plus haute position du Conseil.;Der [GetChancellorName] berät Euch in Diplomatiefragen. Diese Position wird üblicherweise als die höchste im Rat angesehen.;;El [GetChancellorName] es tu asesor en cuestiones de diplomacia. Por tradición	 se considera el puesto más alto del Consejo.;;;;;;;;;x",,,,
job_marshal_vilebranch;Warmonger;Warmonger;Warmonger;;Warmonger;;;;;;;;;x,,,,
"desc_job_marshal_vilebranch;The Warmonger is the councillor in charge of the military. When the ruler cannot or will not command armies	 the Warmonger will do it.;Le Maréchal prodigue des conseils sur les questions militaires. Lorsqu’un souverain n’est pas en mesure de commander ses armées	 il s’en charge.;Der Marschall ist der Militärberater. Wenn der Herrscher keine Armeen befehligen kann oder will	 springt der Marschall ein.;;El mariscal es el consejero a cargo del ejército. Cuando el soberano no pueda dirigir ejércitos	 lo hará el mariscal.;;;;;;;;;x",,,,
job_treasurer_vilebranch;Majordomo;Majordomo;Majordomo;;Majordomo;;;;;;;;;x,,,,
"desc_job_treasurer_vilebranch;The Majordomo helps you collect taxes and administer your demesne.;l'Intendant vous aide à percevoir les impôts et à administrer votre domaine.;Der Verwalter hilft Euch	 Steuern einzutreiben und Eure Domäne zu verwalten.;;El administrador te ayuda a recaudar impuestos y administra tu heredad.;;;;;;;;;x",,,,
job_spymaster_vilebranch;Shadow Hunter;Shadow Hunter;Shadow Hunter;;Shadow Hunter;;;;;;;;;x,,,,
"desc_job_spymaster_vilebranch;The Shadow Hunter is an unofficial position on the council. The hunter is responsible for all matters of intrigue and skullduggery.;Le Maître-Espion occupe une position officieuse au sein du Conseil. Il est chargé des questions ayant trait aux intrigues et autres complots.;Agentenführer ist eine inoffizielle Position im Rat. Der Amtsinhaber ist verantwortlich für Intrigen und alles Hinterlistige.;;El jefe de espías es un cargo no oficial en el Consejo. La persona asignada es responsable de lo relacionado con la intriga y la clandestinidad.;;;;;;;;;x",,,,
job_spiritual_vilebranch;Hex Lord;Hex Lord;Hex Lord;;Hex Lord;;;;;;;;;x,,,,
"desc_job_spiritual_vilebranch;The Hex Lord is your personal advisor on matters of the faith	 but does not necessarily have to be a priest.;Le Chapelain vous prodigue des conseils sur les questions religieuses	 mais n’est pas nécessairement issu du clergé.;Der Hofkaplan ist Euer persönlicher Berater in Glaubensdingen	 muss aber nicht unbedingt zum Klerus gehören.;;El capellán es tu consejero personal en cuestiones de fe y no tiene por qué pertenecer al clero.;;;;;;;;;x",,,,
job_chancellor_northmen;Lord Chancellor;Lord Chancellor;Lord Chancellor;;Lord Chancellor;;;;;;;;;x,,,,
"desc_job_chancellor_northmen;The Lord Chancellor is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;Le [GetChancellorName] prodigue des conseils sur les questions diplomatiques. Il occupe traditionnellement la plus haute position du Conseil.;Der [GetChancellorName] berät Euch in Diplomatiefragen. Diese Position wird üblicherweise als die höchste im Rat angesehen.;;El [GetChancellorName] es tu asesor en cuestiones de diplomacia. Por tradición	 se considera el puesto más alto del Consejo.;;;;;;;;;x",,,,
job_marshal_northmen;Lord Marshal;Lord Marshal;Lord Marshal;;Lord Marshal;;;;;;;;;x,,,,
"desc_job_marshal_northmen;The Lord Marshal is the councillor in charge of the military. When the ruler cannot or will not command armies	 the Grand Marshal will do it.;Le Maréchal prodigue des conseils sur les questions militaires. Lorsqu’un souverain n’est pas en mesure de commander ses armées	 il s’en charge.;Der Marschall ist der Militärberater. Wenn der Herrscher keine Armeen befehligen kann oder will	 springt der Marschall ein.;;El mariscal es el consejero a cargo del ejército. Cuando el soberano no pueda dirigir ejércitos	 lo hará el mariscal.;;;;;;;;;x",,,,
job_treasurer_northmen;Lord Exchequer;Lord Exchequer;Lord Exchequer;;Lord Exchequer;;;;;;;;;x,,,,
"desc_job_treasurer_northmen;The Lord Exchequer helps you collect taxes and administer your demesne.;l'Intendant vous aide à percevoir les impôts et à administrer votre domaine.;Der Verwalter hilft Euch	 Steuern einzutreiben und Eure Domäne zu verwalten.;;El administrador te ayuda a recaudar impuestos y administra tu heredad.;;;;;;;;;x",,,,
job_spymaster_northmen;Spymaster;Spymaster;Spymaster;;Spymaster;;;;;;;;;x,,,,
"desc_job_spymaster_northmen;Spymaster is an unoffical position on the council. The office holder is responsible for all matters of intrigue and skullduggery.;Le Maître-Espion occupe une position officieuse au sein du Conseil. Il est chargé des questions ayant trait aux intrigues et autres complots.;Agentenführer ist eine inoffizielle Position im Rat. Der Amtsinhaber ist verantwortlich für Intrigen und alles Hinterlistige.;;El jefe de espías es un cargo no oficial en el Consejo. La persona asignada es responsable de lo relacionado con la intriga y la clandestinidad.;;;;;;;;;x",,,,
job_spiritual_northmen;Lord-Bishop;Lord-Bishop;Lord-Bishop;;Lord-Bishop;;;;;;;;;x,,,,
"desc_job_spiritual_northmen;The Lord-Bishop is your personal advisor on matters of the faith	 but does not necessarily have to belong to the clergy.;Le Chapelain vous prodigue des conseils sur les questions religieuses	 mais n’est pas nécessairement issu du clergé.;Der Hofkaplan ist Euer persönlicher Berater in Glaubensdingen	 muss aber nicht unbedingt zum Klerus gehören.;;El capellán es tu consejero personal en cuestiones de fe y no tiene por qué pertenecer al clero.;;;;;;;;;x",,,,